processo_numero;processo_ocorrencia
8104920718;Não há Ocorrência para essa Solicitação
8104900817;Invasao de Terreno de Auxilio Moradia
8104891718;Não há Ocorrência para essa Solicitação
8104879718;Não há Ocorrência para essa Solicitação
8104878217;Não há Ocorrência para essa Solicitação
8104855018;Não há Ocorrência para essa Solicitação
8104835018;Invasao de Terreno de Auxilio Moradia
8104830017;Não há Ocorrência para essa Solicitação
8104695318;Não há Ocorrência para essa Solicitação
8104668817;Não há Ocorrência para essa Solicitação
8104662818;Não há Ocorrência para essa Solicitação
8104612217;Imoveis com Danos/Risco
8104595918;Não há Ocorrência para essa Solicitação
8104593618;Não há Ocorrência para essa Solicitação
8104434518;Deslizamentos de Barreiras
8104434518;Imoveis com Danos/Risco
8104396618;Imoveis com Danos/Risco
8104379418;Imoveis com Danos/Risco
8104361017;Não há Ocorrência para essa Solicitação
8104355818;Imoveis com Danos/Risco
8104317918;Não há Ocorrência para essa Solicitação
8104055617;Não há Ocorrência para essa Solicitação
8104023518;Não há Ocorrência para essa Solicitação
8104021218;Não há Ocorrência para essa Solicitação
8104017518;Não há Ocorrência para essa Solicitação
8104015218;Imoveis com Danos/Risco
8103993018;Não há Ocorrência para essa Solicitação
8103989517;Imoveis com Danos/Risco
8103973117;Imoveis com Danos/Risco
8103920517;Muro com Danos
8103916817;Muro com Danos
8103900218;Não há Ocorrência para essa Solicitação
8103818418;Não há Ocorrência para essa Solicitação
8103812618;Não há Ocorrência para essa Solicitação
8103791918;Muro com Danos
8103779017;Não há Ocorrência para essa Solicitação
8103759017;Não há Ocorrência para essa Solicitação
8103652918;Não há Ocorrência para essa Solicitação
8103564417;Não há Ocorrência para essa Solicitação
8103494418;Não há Ocorrência para essa Solicitação
8103482618;Não há Ocorrência para essa Solicitação
8103480318;Não há Ocorrência para essa Solicitação
8103471617;Não há Ocorrência para essa Solicitação
8103446117;Imoveis com Danos/Risco
8103444917;Imoveis com Danos/Risco
8103391018;Imoveis com Danos/Risco
8103389618;Imoveis com Danos/Risco
8103307018;Não há Ocorrência para essa Solicitação
8103268418;Não há Ocorrência para essa Solicitação
8103244017;Não há Ocorrência para essa Solicitação
8103176218;Desabamento Parcial Imoveis
8103176218;Arvores em Risco
8103151018;Arvores em Risco
8103139018;Não há Ocorrência para essa Solicitação
8103137718;Não há Ocorrência para essa Solicitação
8103083418;Não há Ocorrência para essa Solicitação
8103034517;Imoveis com Danos/Risco
8103034517;Deslizamentos de Barreiras
8103015017;Muro com Danos
8103012117;Muro com Danos
8102929917;Não há Ocorrência para essa Solicitação
8102905018;Arvores em Risco
8102877718;Desabamento Parcial Imoveis
8102773917;Não há Ocorrência para essa Solicitação
8102718817;Não há Ocorrência para essa Solicitação
8102707617;Não há Ocorrência para essa Solicitação
8102704717;Imoveis com Danos/Risco
8102689817;Imoveis com Danos/Risco
8102616918;Arvores em Risco
8102609218;Imoveis com Danos/Risco
8102571518;Imoveis com Danos/Risco
8102546018;Imoveis com Danos/Risco
8102546018;Muro com Danos
8102538017;Muro com Danos
8102536717;Muro com Danos
